,PersonID,ActivityCVP,ActivityVISUM,ActivitySector,EducationPlace,Age,AgeGroup,BasicSettlementCode,CadastralAreaCode,DistrictCode,DeclaredJourneyTime,Education,Gender,JourneyMainMode,PrimaryLocTownCode,PrimaryLocDistrictCode,PrimaryLocRegionCode,PrimaryLocStateCode,PrimaryLocRelationHome,TownCode,TownSize,RegionCode
180,181,1,1,4,4,63,7,834110,683418,4214,2,3,2,6,554804,4214,3069,203,1,568058,3,CZ042
183,184,1,1,9,4,43,5,906710,690678,4214,6,4,1,5,554782,1100,3018,203,4,568104,2,CZ042
184,185,1,1,8,4,39,4,906710,690678,4214,2,4,2,6,562335,4202,3069,203,2,568104,2,CZ042
193,194,1,1,1,4,48,5,517990,651796,4214,4,2,1,5,565717,4205,3069,203,2,568015,4,CZ042
201,202,4,5,7,4,45,5,1944920,794490,4214,3,4,2,3,568015,4214,3069,203,3,568015,4,CZ042
208,209,1,1,8,4,53,6,517990,651796,4214,4,2,2,3,568015,4214,3069,203,6,568015,4,CZ042
213,214,1,1,4,4,33,4,834110,683418,4214,2,2,2,6,568155,4214,3069,203,1,568058,3,CZ042
219,220,1,1,9,4,51,6,1944920,794490,4214,2,1,2,4,554804,4214,3069,203,1,568015,4,CZ042
220,221,1,1,1,4,40,4,517990,651796,4214,2,2,1,6,567451,4201,3069,203,2,568015,4,CZ042
225,226,1,1,9,4,53,6,834110,683418,4214,1,2,1,6,568058,4214,3069,203,4,568058,3,CZ042
226,227,6,3,99,4,59,6,1944920,794490,4214,1,2,1,1,568015,4214,3069,203,1,568015,4,CZ042
231,232,1,1,1,3,28,3,335020,633500,4214,2,2,1,4,553697,4214,3069,203,1,568201,3,CZ042
233,234,1,1,8,4,59,6,834110,683418,4214,3,2,2,4,568309,4214,3069,203,1,568058,3,CZ042
235,236,13,5,99,0,6,1,906970,690694,4214,3,88,2,4,554804,4214,3069,998,5,568104,2,CZ042
238,239,1,1,9,4,44,5,504910,650498,4214,1,2,2,6,554804,4214,3069,203,1,568007,4,CZ042
245,246,8,2,99,3,23,3,1944920,794490,4214,3,1,1,4,554804,4214,3069,203,1,568015,4,CZ042
255,256,13,5,99,0,6,1,1944920,794490,4214,2,88,2,3,568015,4214,3069,203,1,568015,4,CZ042
258,259,1,1,7,4,40,4,1268020,726800,4214,2,2,1,6,553697,4214,3069,203,1,568155,4,CZ042
262,263,6,3,99,4,65,7,504910,650498,4214,2,1,1,6,568007,4214,3093,203,1,568007,4,CZ042
263,264,12,4,99,3,30,3,335020,633500,4214,4,1,1,7,553697,4214,3069,203,4,568201,3,CZ042
264,265,13,5,99,4,38,4,517990,651796,4214,2,4,2,3,568015,4214,3069,998,2,568015,4,CZ042
265,266,1,1,7,4,38,4,906970,690694,4214,3,2,1,4,554804,4214,3069,203,1,568104,2,CZ042
279,280,1,1,2,4,57,6,335020,633500,4214,2,1,2,4,553697,4214,3069,203,1,568201,3,CZ042
287,288,2,1,9,4,68,7,303680,630365,4214,6,2,1,5,567931,4214,3069,203,6,567931,2,CZ042
290,291,1,1,7,4,53,6,1671180,767115,4214,2,2,1,4,568309,4214,3069,203,6,568309,2,CZ042
298,299,1,1,9,4,48,5,504910,650498,4214,2,2,1,6,554804,4214,3069,203,1,568007,4,CZ042
309,310,1,1,9,4,64,7,1268110,726818,4214,3,2,2,5,554804,4214,3069,203,1,568155,4,CZ042
340,341,1,1,1,4,47,5,504910,650498,4214,3,2,2,3,554804,4214,3069,203,1,568007,4,CZ042
352,353,1,1,6,3,30,3,834110,683418,4214,1,2,2,4,554804,4214,3069,203,1,568058,3,CZ042
356,357,3,2,99,3,23,3,1268020,726800,4214,2,1,2,5,554804,4214,3069,998,3,568155,4,CZ042
365,366,1,1,8,4,54,6,1268110,726818,4214,2,4,1,6,554804,4214,3069,203,1,568155,4,CZ042
370,371,8,2,99,2,18,2,1944920,794490,4214,2,88,1,1,568015,4214,3069,203,4,568015,4,CZ042
376,377,1,1,8,4,63,7,303680,630365,4214,4,2,2,5,554804,4214,3069,203,1,567931,2,CZ042
385,386,8,2,99,3,29,3,517990,651796,4214,1,2,2,1,554804,4214,3069,826,3,568015,4,CZ042
388,389,8,2,99,3,24,3,504910,650498,4214,3,1,2,3,554804,4214,3069,203,1,568007,4,CZ042
389,390,8,2,99,3,20,3,334990,633496,4214,3,88,1,4,553697,4214,3069,203,1,568201,3,CZ042
392,393,13,5,99,4,36,4,303680,630365,4214,2,2,2,6,567841,4201,3069,998,2,567931,2,CZ042
395,396,12,4,8,4,44,5,334990,633496,4214,3,2,2,3,554804,4214,3069,203,1,568201,3,CZ042
399,400,8,2,99,3,21,3,1671180,767115,4214,2,1,2,3,568309,4214,3069,203,6,568309,2,CZ042
402,403,1,1,7,4,65,7,834110,683418,4214,1,2,1,6,562564,4202,3069,203,2,568058,3,CZ042
403,404,8,2,99,2,17,2,904840,690481,4214,1,88,2,4,568350,4214,3069,203,1,568091,2,CZ042
408,409,1,1,1,4,40,4,834110,683418,4214,5,2,1,6,567027,4209,3069,203,2,568058,3,CZ042
418,419,1,1,7,4,51,6,1671180,767115,4214,1,2,2,6,568309,4214,3069,203,6,568309,2,CZ042
420,421,4,5,99,4,34,4,517990,651796,4214,2,2,2,6,553697,4214,3069,203,1,568015,4,CZ042
421,422,7,5,99,4,44,5,904840,690481,4214,2,2,2,4,568091,4214,3069,203,6,568091,2,CZ042
433,434,1,1,1,4,61,7,517990,651796,4214,2,2,1,6,554804,4214,3069,998,5,568015,4,CZ042
445,446,1,1,3,4,61,7,1268020,726800,4214,3,2,1,6,568155,4214,3069,203,6,568155,4,CZ042
463,464,6,3,99,4,68,7,1268110,726818,4214,6,1,2,6,568155,4214,3069,998,1,568155,4,CZ042
468,469,8,2,99,3,22,3,904840,690481,4214,2,1,1,4,554804,4214,3069,203,1,568091,2,CZ042
476,477,1,1,9,4,32,4,517990,651796,4214,1,2,2,6,554804,4214,3069,203,1,568015,4,CZ042
478,479,1,1,6,4,60,6,517990,651796,4214,2,1,2,4,554804,4214,3069,203,1,568015,4,CZ042
483,484,1,1,7,4,48,5,883910,688398,4214,2,2,1,6,568147,4214,3069,203,1,555223,2,CZ042
503,504,1,1,1,4,60,6,1786830,778681,4214,1,2,1,6,554804,4214,3069,203,1,568350,4,CZ042
511,512,8,2,99,3,24,3,504910,650498,4214,5,1,2,5,564567,4205,3069,203,2,568007,4,CZ042
517,518,1,1,9,4,52,6,1786830,778681,4214,3,2,1,6,554782,1100,3069,203,5,568350,4,CZ042
528,529,6,3,99,4,68,7,834110,683418,4214,4,2,1,3,562335,4202,3069,203,2,568058,3,CZ042
530,531,1,1,1,4,43,5,1767290,776726,4214,1,2,1,6,568015,4214,3069,998,5,568350,4,CZ042
536,537,1,1,9,4,33,4,517990,651796,4214,1,2,1,5,568015,4214,3069,203,6,568015,4,CZ042
549,550,1,1,8,4,58,6,1268020,726800,4214,1,2,2,5,554804,4214,3069,203,1,568155,4,CZ042
551,552,8,2,99,2,18,2,834110,683418,4214,1,88,1,1,568058,4214,3069,203,4,568058,3,CZ042
552,553,1,1,7,4,40,4,547390,654736,4214,1,2,2,6,554804,4214,3069,203,1,568023,3,CZ042
571,572,12,4,9,4,56,6,1788530,778851,4214,2,2,1,6,555223,4214,3069,203,6,555223,2,CZ042
575,576,4,5,1,4,33,4,1786830,778681,4214,3,2,2,4,554804,4214,3069,203,1,568350,4,CZ042
589,590,1,1,9,4,44,5,834110,683418,4214,2,2,1,6,554804,4214,3069,203,1,568058,3,CZ042
594,595,6,3,99,4,70,7,1786830,778681,4214,1,4,1,4,568350,4214,3069,998,1,568350,4,CZ042
613,614,1,1,9,4,42,5,547390,654736,4214,1,2,1,6,554804,4214,3069,203,1,568023,3,CZ042
614,615,11,4,99,3,27,3,1671180,767115,4214,2,2,1,4,554804,4214,3069,203,6,568309,2,CZ042
615,616,13,5,99,0,6,1,904840,690481,4214,1,88,1,4,554782,1100,3069,998,2,568091,2,CZ042
617,618,1,1,1,4,38,4,834110,683418,4214,1,2,2,7,568309,4214,3069,203,1,568058,3,CZ042
619,620,2,1,8,4,80,8,1786830,778681,4214,1,4,1,1,568350,4214,3069,203,4,568350,4,CZ042
622,623,1,1,1,4,39,4,517990,651796,4214,1,2,1,6,567931,4214,3069,203,1,568015,4,CZ042
626,627,1,1,1,4,47,5,1786830,778681,4214,3,2,2,4,554804,4214,3069,203,1,568350,4,CZ042
639,640,8,2,99,3,25,3,834110,683418,4214,3,1,1,4,554804,4214,3069,203,1,568058,3,CZ042
644,645,1,1,9,4,43,5,834110,683418,4214,2,2,2,4,568147,4214,3069,203,1,568058,3,CZ042
654,655,1,1,7,4,59,6,1786830,778681,4214,1,2,2,1,568350,4214,3069,203,4,568350,4,CZ042
673,674,1,1,8,4,63,7,1200900,720097,4214,5,2,2,6,564567,4205,3069,203,2,568147,2,CZ042
681,682,1,1,4,4,38,4,1268110,726818,4214,3,2,1,6,568007,4214,3069,203,1,568155,4,CZ042
683,684,11,4,99,3,27,3,517990,651796,4214,1,2,2,3,568058,4214,3069,203,4,568015,4,CZ042
696,697,12,4,9,4,44,5,3238370,765732,4214,1,2,2,5,567141,4209,3069,998,1,568295,2,CZ042
697,698,1,1,9,3,30,3,517990,651796,4214,2,2,2,3,554804,4214,3069,203,1,568015,4,CZ042
708,709,6,3,99,4,57,6,1786830,778681,4214,1,2,1,1,568350,4214,3069,998,3,568350,4,CZ042
719,720,1,1,9,4,58,6,1671180,767115,4214,2,2,1,1,568309,4214,3069,203,6,568309,2,CZ042
720,721,6,3,99,4,89,8,1786830,778681,4214,2,2,1,6,554804,4214,3069,203,4,568350,4,CZ042
723,724,6,3,99,4,68,7,517990,651796,4214,1,2,2,3,568015,4214,3069,998,1,568015,4,CZ042
726,727,12,4,6,4,54,6,1788530,778851,4214,2,2,2,6,562335,4202,3069,203,4,555223,2,CZ042
734,735,1,1,8,4,58,6,1657270,765724,4214,5,2,2,4,554804,4214,3069,203,1,568295,2,CZ042
752,753,7,5,99,4,32,4,1268110,726818,4214,2,2,2,6,565229,4208,3069,203,4,568155,4,CZ042
762,763,1,1,7,4,40,4,1268110,726818,4214,1,2,2,1,568155,4214,3069,203,4,568155,4,CZ042
763,764,1,1,1,4,42,5,834110,683418,4214,2,4,1,7,553697,4214,3069,203,1,568058,3,CZ042
781,782,2,1,8,4,71,8,1671180,767115,4214,3,4,2,4,554804,4214,3069,203,1,568309,2,CZ042
784,785,12,4,1,4,49,5,1749710,774979,4214,3,2,2,3,553697,4214,3069,203,4,553697,4,CZ042
787,788,1,1,4,4,65,7,547390,654736,4214,2,2,1,4,554804,4214,3069,203,1,568023,3,CZ042
788,789,1,1,8,4,56,6,1268110,726818,4214,1,2,1,6,568155,4214,3069,203,6,568155,4,CZ042
805,806,6,3,99,4,47,5,1944920,794490,4214,2,2,2,6,562335,4202,3069,998,1,568015,4,CZ042
811,812,7,5,99,4,43,5,1767110,776726,4214,3,2,2,6,568350,4214,3069,998,2,568350,4,CZ042
815,816,1,1,1,4,64,7,1767290,776726,4214,3,1,1,4,553697,4214,3069,203,1,568350,4,CZ042
827,828,6,3,99,4,71,8,1944920,794490,4214,6,1,2,3,554804,4214,3069,203,1,568015,4,CZ042
828,829,1,1,4,4,47,5,906970,690694,4214,6,2,1,7,564567,4205,3018,442,3,568104,2,CZ042
832,833,6,3,99,4,75,8,1944920,794490,4214,4,1,1,6,568015,4214,3069,998,1,568015,4,CZ042
834,835,1,1,9,3,29,3,517990,651796,4214,1,2,2,3,568015,4214,3069,203,6,568015,4,CZ042
839,840,2,1,9,4,73,8,517990,651796,4214,2,2,1,6,554804,4214,3069,203,1,568015,4,CZ042
841,842,8,2,99,3,27,3,504910,650498,4214,2,2,1,3,554804,4214,3069,203,1,568007,4,CZ042
857,858,6,3,99,4,70,7,1671180,767115,4214,1,2,2,7,554804,4214,3069,998,6,568309,2,CZ042
874,875,1,1,5,4,33,4,710210,671029,4214,5,4,2,7,554782,1100,3018,203,4,553697,4,CZ042
882,883,1,1,9,4,54,6,1268110,726818,4214,4,2,1,6,567027,4209,3069,203,2,568155,4,CZ042
907,908,1,1,8,4,42,5,517990,651796,4214,3,2,2,3,554804,4214,3069,203,1,568015,4,CZ042
915,916,1,1,9,4,40,4,834110,683418,4214,2,2,1,4,568058,4214,3069,203,5,568058,3,CZ042
916,917,1,1,7,4,41,5,904840,690481,4214,2,4,1,2,554804,4214,3069,203,1,568091,2,CZ042
939,940,13,5,99,0,6,1,1268020,726800,4214,5,88,1,7,554804,4214,3069,203,1,568155,4,CZ042
941,942,1,1,4,4,50,5,1749710,774979,4214,2,2,2,3,554804,4214,3069,203,1,553697,4,CZ042
953,954,8,2,99,3,21,3,1268110,726818,4214,1,1,2,1,568155,4214,3069,203,4,568155,4,CZ042
957,958,4,5,9,4,36,4,834110,683418,4214,1,2,2,6,554804,4214,3069,203,1,568058,3,CZ042
960,961,1,1,7,4,39,4,1786830,778681,4214,2,2,1,7,568350,4214,3069,203,6,568350,4,CZ042
970,971,1,1,4,4,43,5,1268110,726818,4214,2,2,1,6,554804,4214,3069,203,1,568155,4,CZ042
976,977,1,1,1,4,31,4,1450330,745031,4214,1,2,1,6,568201,4214,3069,998,4,568201,3,CZ042
984,985,8,2,99,3,22,3,1749710,774979,4214,3,1,1,3,554804,4214,3069,203,1,553697,4,CZ042
994,995,8,2,99,3,20,3,517990,651796,4214,1,88,1,1,568015,4214,3069,203,4,568015,4,CZ042
1000,1001,1,1,7,4,41,5,904840,690481,4214,2,4,2,7,554804,4214,3069,203,1,568091,2,CZ042
1001,1002,1,1,9,4,64,7,1671180,767115,4214,2,4,1,6,554804,4214,3069,203,1,568309,2,CZ042
1002,1003,1,1,9,4,51,6,517990,651796,4214,2,2,1,5,568015,4214,3069,998,5,568015,4,CZ042
1003,1004,1,1,9,4,40,4,1444520,744450,4214,2,2,2,6,554804,4214,3069,203,1,546186,98,CZ042
1019,1020,7,5,99,4,59,6,504910,650498,4214,2,1,2,6,568007,4214,3069,203,4,568007,4,CZ042
1020,1021,7,5,99,4,43,5,834110,683418,4214,9,2,2,4,554804,4214,3069,203,1,568058,3,CZ042
1032,1033,1,1,8,4,45,5,1749710,774979,4214,5,4,1,5,554782,1100,3018,203,4,553697,4,CZ042
1041,1042,8,2,99,3,21,3,504910,650498,4214,1,1,2,6,568007,4214,3069,203,6,568007,4,CZ042
1067,1068,6,3,99,4,71,8,1671180,767115,4214,1,2,1,6,568058,4214,3069,998,1,568309,2,CZ042
1074,1075,8,2,99,2,19,2,504910,650498,4214,1,88,1,1,568007,4214,3069,203,4,568007,4,CZ042
1095,1096,1,1,9,4,41,5,303680,630365,4214,2,4,1,6,554804,4214,3069,203,1,567931,2,CZ042
1122,1123,1,1,9,4,46,5,1671180,767115,4214,4,2,2,6,568309,4214,3069,203,6,568309,2,CZ042
1128,1129,8,2,99,2,17,2,1749710,774979,4214,2,88,1,3,554804,4214,3069,203,1,553697,4,CZ042
1145,1146,1,1,8,4,41,5,1671180,767115,4214,9,4,2,1,554804,4214,3069,203,1,568309,2,CZ042
1148,1149,1,1,8,4,39,4,1671180,767115,4214,1,4,2,1,568309,4214,3069,203,4,568309,2,CZ042
1151,1152,1,1,9,4,43,5,1749710,774979,4214,1,4,2,6,554804,4214,3069,203,1,553697,4,CZ042
1160,1161,1,1,9,4,50,5,1786830,778681,4214,1,2,1,4,568350,4214,3069,203,5,568350,4,CZ042
1164,1165,6,3,99,4,60,6,504910,650498,4214,1,1,2,6,554804,4214,3069,998,3,568007,4,CZ042
1165,1166,2,1,9,4,63,7,504910,650498,4214,2,2,1,6,568007,4214,3069,203,6,568007,4,CZ042
1172,1173,6,3,99,4,87,8,504910,650498,4214,2,2,1,3,567515,4213,3069,998,1,568007,4,CZ042
1195,1196,1,1,99,4,38,4,906970,690694,4214,3,1,1,6,554804,4214,3069,203,3,568104,2,CZ042
1214,1215,8,2,99,3,29,3,1268110,726818,4214,4,4,1,5,554804,4214,3069,203,1,568155,4,CZ042
1230,1231,8,2,99,3,24,3,1450090,745031,4214,2,2,2,3,553697,4214,3069,203,1,568201,3,CZ042
1235,1236,1,1,1,4,41,5,834110,683418,4214,2,2,2,6,568058,4214,3069,203,3,568058,3,CZ042
1240,1241,8,2,99,3,22,3,1450090,745031,4214,2,1,2,3,553697,4214,3069,203,1,568201,3,CZ042
1241,1242,1,1,7,4,41,5,517990,651796,4214,2,4,1,3,554804,4214,3069,203,1,568015,4,CZ042
1249,1250,1,1,9,4,42,5,1671180,767115,4214,1,2,1,4,568147,4214,3069,203,1,568309,2,CZ042
1250,1251,6,3,99,4,73,8,1749710,774979,4214,6,2,1,1,554804,4214,3069,998,4,553697,4,CZ042
1259,1260,13,5,99,0,6,1,517990,651796,4214,1,88,1,3,554804,4214,3069,203,1,568015,4,CZ042
1269,1270,1,1,9,4,57,6,1450090,745031,4214,3,2,1,3,554804,4214,3069,203,1,568201,3,CZ042
1284,1285,1,1,8,4,35,4,547390,654736,4214,1,4,2,6,554804,4214,3069,203,1,568023,3,CZ042
1287,1288,13,5,99,4,62,7,232720,623270,4214,2,2,2,3,568015,4214,3069,203,1,568015,4,CZ042
1288,1289,1,1,8,4,39,4,517990,651796,4214,1,2,2,1,568015,4214,3069,203,4,568015,4,CZ042
1297,1298,13,5,99,4,54,6,1450090,745031,4214,4,1,2,6,567809,4213,3069,998,2,568201,3,CZ042
1298,1299,11,4,99,4,46,5,1657270,765724,4214,2,2,1,6,554804,4214,3069,203,1,568295,2,CZ042
1299,1300,1,1,7,4,41,5,517990,651796,4214,2,2,1,3,554804,4214,3069,203,1,568015,4,CZ042
1303,1304,1,1,99,4,36,4,906970,690694,4214,3,2,2,3,554804,4214,3069,203,3,568104,2,CZ042
1308,1309,11,4,99,4,45,5,1657270,765724,4214,6,1,2,4,554804,4214,3069,203,1,568295,2,CZ042
1313,1314,1,1,8,4,33,4,517990,651796,4214,3,4,1,3,554804,4214,3069,203,1,568015,4,CZ042
1319,1320,8,2,99,2,18,2,1450090,745031,4214,2,88,1,3,553697,4214,3069,203,1,568201,3,CZ042
1324,1325,1,1,8,4,32,4,517990,651796,4214,4,4,1,6,564567,4205,3069,203,2,568015,4,CZ042
1344,1345,6,3,99,4,55,6,1268290,726826,4214,3,2,2,5,554804,4214,3069,203,4,568155,4,CZ042
1351,1352,13,5,99,0,6,1,517990,651796,4214,3,88,2,3,567442,4213,3069,203,6,568015,4,CZ042
1355,1356,1,1,9,4,45,5,504910,650498,4214,1,2,1,3,568007,4214,3069,203,6,568007,4,CZ042
1361,1362,6,3,99,4,66,7,1786830,778681,4214,2,2,1,4,554804,4214,3069,998,1,568350,4,CZ042
1375,1376,1,1,9,4,55,6,834110,683418,4214,3,2,1,6,568058,4214,3069,998,5,568058,3,CZ042
1397,1398,8,2,99,3,22,3,1268020,726800,4214,2,1,1,5,554804,4214,3069,203,1,568155,4,CZ042
1402,1403,1,1,1,3,26,3,1268290,726826,4214,1,2,1,1,568155,4214,3069,203,6,568155,4,CZ042
1408,1409,1,1,9,3,28,3,1268110,726818,4214,2,2,2,3,554804,4214,3069,203,1,568155,4,CZ042
1409,1410,1,1,1,4,64,7,1749710,774979,4214,3,1,2,3,553697,4214,3069,203,6,553697,4,CZ042
1421,1422,6,3,99,4,65,7,834110,683418,4214,1,2,2,6,568058,4214,3069,998,6,568058,3,CZ042
1427,1428,6,3,99,4,71,8,1749710,774979,4214,1,2,1,6,554804,4214,3069,998,5,553697,4,CZ042
1429,1430,1,1,1,4,69,7,834110,683418,4214,3,2,1,6,554804,4214,3069,203,1,568058,3,CZ042
1436,1437,1,1,8,4,51,6,1786830,778681,4214,1,4,2,1,568350,4214,3069,203,4,568350,4,CZ042
1442,1443,8,2,99,3,29,3,504910,650498,4214,2,2,2,3,554804,4214,3069,203,1,568007,4,CZ042
1444,1445,8,2,99,3,21,3,1788530,778851,4214,2,1,1,4,554804,4214,3069,203,1,555223,2,CZ042
1451,1452,1,1,9,4,57,6,1671180,767115,4214,2,4,1,6,568015,4214,3069,203,1,568309,2,CZ042
1469,1470,1,1,9,4,56,6,504910,650498,4214,2,2,1,4,554804,4214,3069,203,5,568007,4,CZ042
1477,1478,7,5,99,4,39,4,1671180,767115,4214,2,1,1,1,554782,1100,3069,203,1,568309,2,CZ042
1499,1500,1,1,9,4,51,6,1767290,776726,4214,2,4,2,6,554782,1100,3069,203,5,568350,4,CZ042
1501,1502,1,1,7,4,39,4,1268110,726818,4214,2,2,1,6,562335,4202,3069,203,2,568155,4,CZ042
1518,1519,1,1,5,4,47,5,834110,683418,4214,6,4,1,6,554782,1100,3018,203,4,568058,3,CZ042
1525,1526,1,1,9,4,52,6,1558110,755818,4214,1,2,1,6,568007,4214,3069,203,1,568015,4,CZ042
1530,1531,1,1,8,4,40,4,1767290,776726,4214,2,2,2,6,554804,4214,3069,203,1,568350,4,CZ042
1533,1534,6,3,99,4,31,4,517990,651796,4214,2,2,2,6,568007,4214,3069,203,3,568015,4,CZ042
1534,1535,6,3,99,4,86,8,1268020,726800,4214,1,2,2,1,554804,4214,3069,203,4,568155,4,CZ042
1542,1543,1,1,9,4,50,5,834110,683418,4214,1,2,1,6,554804,4214,3069,203,1,568058,3,CZ042
1545,1546,8,2,99,2,18,2,1268110,726818,4214,4,88,1,3,554804,4214,3069,203,1,568155,4,CZ042
1555,1556,8,2,99,3,21,3,1558110,755818,4214,3,1,2,7,554804,4214,3069,203,1,568015,4,CZ042
1568,1569,1,1,7,4,46,5,1558110,755818,4214,2,4,1,7,554804,4214,3069,203,1,568015,4,CZ042
1571,1572,1,1,1,4,55,6,1531840,753181,4214,2,2,1,6,554804,4214,3069,203,1,568201,3,CZ042
1591,1592,1,1,9,4,55,6,1531840,753181,4214,2,2,2,5,554804,4214,3069,203,1,568201,3,CZ042
1593,1594,1,1,9,4,40,4,1350710,735078,4214,1,2,2,7,554804,4214,3069,203,1,530620,99,CZ042
1602,1603,1,1,4,4,37,4,1450330,745031,4214,2,2,1,6,554804,4214,3069,203,1,568201,3,CZ042
1604,1605,1,1,8,4,45,5,834110,683418,4214,1,2,2,6,554804,4214,3069,203,1,568058,3,CZ042
1621,1622,7,5,99,4,38,4,1944920,794490,4214,3,4,2,3,554804,4214,3069,203,6,568015,4,CZ042
1628,1629,1,1,7,4,66,7,834110,683418,4214,3,2,1,1,568058,4214,3069,203,6,568058,3,CZ042
1630,1631,7,5,99,4,39,4,517990,651796,4214,2,3,2,3,554804,4214,3069,998,4,568015,4,CZ042
1632,1633,8,2,99,2,17,2,1350710,735078,4214,2,88,2,3,568007,4214,3069,203,1,530620,99,CZ042
1635,1636,8,2,99,3,27,3,904680,690465,4214,4,2,2,3,554804,4214,3069,203,1,568091,2,CZ042
1656,1657,1,1,8,4,32,4,517990,651796,4214,5,4,2,3,568015,4214,3069,203,6,568015,4,CZ042
1657,1658,6,3,99,4,88,8,1786830,778681,4214,4,2,1,1,554804,4214,3069,203,1,568350,4,CZ042
1658,1659,1,1,9,4,38,4,1444520,744450,4214,2,2,1,6,553697,4214,3069,203,1,546186,98,CZ042
1672,1673,1,1,1,4,54,6,1671180,767115,4214,2,2,1,6,554804,4214,3069,203,1,568309,2,CZ042
1680,1681,12,4,99,4,38,4,883910,688398,4214,2,2,2,6,555223,4214,3069,203,6,555223,2,CZ042
1705,1706,8,2,99,2,18,2,834110,683418,4214,3,88,2,4,554804,4214,3069,203,1,568058,3,CZ042
1706,1707,1,1,1,4,60,6,834110,683418,4214,4,2,1,4,562335,4202,3069,203,3,568058,3,CZ042
1715,1716,1,1,9,4,42,5,1786830,778681,4214,3,2,1,6,553697,4214,3069,203,1,568350,4,CZ042
1726,1727,1,1,9,4,52,6,1268020,726800,4214,2,2,2,6,554804,4214,3069,203,1,568155,4,CZ042
1737,1738,1,1,8,4,61,7,517990,651796,4214,1,4,2,6,554804,4214,3069,203,1,568015,4,CZ042
1739,1740,1,1,9,4,49,5,1671180,767115,4214,3,2,2,4,554804,4214,3069,203,1,568309,2,CZ042
1740,1741,8,2,99,3,24,3,1558110,755818,4214,3,1,1,3,554804,4214,3069,203,1,568015,4,CZ042
1754,1755,1,1,7,4,44,5,1268020,726800,4214,1,2,2,7,554804,4214,3069,203,1,568155,4,CZ042
1758,1759,1,1,9,4,61,7,1671180,767115,4214,2,4,2,7,554804,4214,3069,203,1,568309,2,CZ042
