H_ID,H_orp_code,H_orp_name,H_address_city,H_address_city_code,H_address_district,H_address_district_code,H_date,H_persons,H_persons_0005,H_persons_0617,H_persons_1899,H_income,H_venr_car_private,H_venr_car_company,H_venr_util,H_venr_other,H_venr_bike,H_region,H_munpop
26,6211,Mikulov,NA,NA,NA,NA,15/11/2017,2,0,0,2,15 001–22 000 Kè,2,0,0,0,0,Jihomoravskı kraj,5 000-9 999
27,6204,Bøeclav,NA,NA,NA,NA,21/11/2017,2,0,0,2,22 001–30 000 Kè,1,0,0,0,2,Jihomoravskı kraj,20 000-49 999
28,3114,Tøeboò,NA,NA,NA,NA,06/03/2019,2,0,0,2,30 001–50 000 Kè,1,0,0,0,2,Jihoèeskı kraj,5 000-9 999
29,6104,Chotìboø,NA,NA,NA,NA,07/02/2019,3,0,0,3,NA,1,0,0,0,2,Kraj Vysoèina,do 999
30,4207,Louny,NA,NA,NA,NA,24/10/2018,2,0,0,2,NA,1,0,0,0,0,Ústeckı kraj,2 000-4 999
31,6207,Hustopeèe,NA,NA,NA,NA,12/02/2019,3,0,1,2,50 001 Kè a více,1,0,0,0,0,Jihomoravskı kraj,1 000-1 999
32,6113,Tøebíè,NA,NA,NA,NA,07/02/2019,1,0,0,1,30 001–50 000 Kè,1,0,0,0,1,Kraj Vysoèina,do 999
33,6114,Velké Meziøíèí,NA,NA,NA,NA,30/10/2018,2,0,0,2,NA,1,0,0,0,0,Kraj Vysoèina,do 999
34,6114,Velké Meziøíèí,NA,NA,NA,NA,25/10/2018,3,0,0,3,30 001–50 000 Kè,2,0,0,0,1,Kraj Vysoèina,do 999
35,8105,Frenštát pod Radhoštìm,NA,NA,NA,NA,13/02/2019,5,0,0,5,50 001 Kè a více,0,2,0,0,0,Moravskoslezskı kraj,10 000-19 999
36,3108,Písek,NA,NA,NA,NA,15/11/2018,2,0,0,2,30 001–50 000 Kè,2,0,0,0,1,Jihoèeskı kraj,do 999
37,6207,Hustopeèe,NA,NA,NA,NA,29/11/2017,2,0,0,2,15 001–22 000 Kè,1,0,0,0,2,Jihomoravskı kraj,2 000-4 999
38,6207,Hustopeèe,NA,NA,NA,NA,29/11/2017,2,0,0,2,nevím/nechci odpovídat,1,0,0,0,0,Jihomoravskı kraj,1 000-1 999
39,4213,Teplice,NA,NA,NA,NA,16/10/2018,3,1,0,2,22 001–30 000 Kè,2,0,0,0,3,Ústeckı kraj,2 000-4 999
40,5205,Hradec Králové,NA,NA,NA,NA,07/08/2018,3,0,1,2,30 001–50 000 Kè,1,0,0,0,0,Královéhradeckı kraj,50 000-99 999
41,7211,Vizovice,NA,NA,NA,NA,10/10/2018,2,0,0,2,15 001–22 000 Kè,0,0,0,0,0,Zlínskı kraj,do 999
42,7213,Zlín,NA,NA,NA,NA,22/08/2018,2,0,0,2,NA,1,0,0,0,0,Zlínskı kraj,do 999
43,6115,ïár nad Sázavou,NA,NA,NA,NA,12/07/2018,2,0,0,2,NA,1,0,0,0,0,Kraj Vysoèina,20 000-49 999
44,6206,Hodonín,NA,NA,NA,NA,08/11/2017,1,0,0,1,30 001–50 000 Kè,1,0,0,0,0,Jihomoravskı kraj,2 000-4 999
45,6203,Brno,NA,NA,NA,NA,21/11/2017,1,0,0,1,22 001–30 000 Kè,1,0,0,0,2,Jihomoravskı kraj,100 000+
46,3105,Jindøichùv Hradec,NA,NA,NA,NA,27/06/2018,2,0,0,2,NA,1,0,0,0,2,Jihoèeskı kraj,20 000-49 999
47,4107,Sokolov,NA,NA,NA,NA,09/04/2019,3,1,0,2,30 001–50 000 Kè,1,0,0,0,0,Karlovarskı kraj,20 000-49 999
48,5208,Kostelec nad Orlicí,NA,NA,NA,NA,20/02/2019,2,0,0,2,NA,1,1,0,0,0,Královéhradeckı kraj,1 000-1 999
49,7213,Zlín,NA,NA,NA,NA,21/11/2017,3,0,1,2,30 001–50 000 Kè,1,1,0,0,0,Zlínskı kraj,50 000-99 999
50,8119,Ostrava,NA,NA,NA,NA,05/03/2019,6,0,3,3,NA,0,0,0,0,0,Moravskoslezskı kraj,100 000+
51,5213,Rychnov nad Knìnou,NA,NA,NA,NA,21/08/2018,1,0,0,1,NA,1,1,0,0,1,Královéhradeckı kraj,2 000-4 999
52,4103,Karlovy Vary,NA,NA,NA,NA,14/02/2019,2,0,0,2,15 001–22 000 Kè,0,0,0,0,0,Karlovarskı kraj,20 000-49 999
53,6203,Brno,NA,NA,NA,NA,29/11/2017,3,0,1,2,50 001 Kè a více,1,1,0,0,0,Jihomoravskı kraj,100 000+
54,7201,Bystøice pod Hostınem,NA,NA,NA,NA,05/02/2019,4,0,0,4,NA,0,0,0,0,1,Zlínskı kraj,do 999
55,6216,Šlapanice,NA,NA,NA,NA,21/11/2017,1,0,0,1,nevím/nechci odpovídat,0,0,0,0,1,Jihomoravskı kraj,2 000-4 999
56,4210,Podboøany,NA,NA,NA,NA,04/10/2018,3,1,0,2,22 001–30 000 Kè,1,0,0,0,1,Ústeckı kraj,5 000-9 999
57,5210,Nová Paka,NA,NA,NA,NA,24/07/2018,5,1,2,2,30 001–50 000 Kè,1,0,0,0,3,Královéhradeckı kraj,5 000-9 999
58,7104,Lipník nad Beèvou,NA,NA,NA,NA,07/11/2018,3,0,0,3,NA,2,0,0,0,2,Olomouckı kraj,do 999
59,3101,Blatná,NA,NA,NA,NA,02/04/2019,3,0,1,2,30 001–50 000 Kè,2,0,0,0,4,Jihoèeskı kraj,do 999
60,5205,Hradec Králové,NA,NA,NA,NA,07/08/2018,4,0,2,2,30 001–50 000 Kè,0,0,0,0,4,Královéhradeckı kraj,50 000-99 999
61,5205,Hradec Králové,NA,NA,NA,NA,03/10/2018,4,0,2,2,30 001–50 000 Kè,1,1,0,0,4,Královéhradeckı kraj,50 000-99 999
62,6101,Bystøice nad Pernštejnem,NA,NA,NA,NA,18/10/2018,4,2,0,2,NA,1,0,0,0,0,Kraj Vysoèina,do 999
63,2106,Èeskı Brod,NA,NA,NA,NA,24/07/2018,4,0,0,4,NA,2,1,0,0,2,Støedoèeskı kraj,do 999
64,7213,Zlín,NA,NA,NA,NA,26/03/2019,3,0,2,1,NA,1,0,0,0,2,Zlínskı kraj,50 000-99 999
65,3204,Horšovskı Tın,NA,NA,NA,NA,17/10/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Plzeòskı kraj,1 000-1 999
66,6214,Rosice,NA,NA,NA,NA,08/11/2017,2,0,0,2,15 001–22 000 Kè,1,0,0,0,0,Jihomoravskı kraj,2 000-4 999
67,8103,Bruntál,NA,NA,NA,NA,23/11/2017,2,0,0,2,22 001–30 000 Kè,2,0,0,1,2,Moravskoslezskı kraj,5 000-9 999
68,1000,Praha,NA,NA,NA,NA,27/02/2019,4,0,2,2,50 001 Kè a více,1,0,0,2,4,Hlavní mìsto Praha,100 000+
69,6218,Veselí nad Moravou,NA,NA,NA,NA,12/10/2017,3,0,0,3,nevím/nechci odpovídat,1,0,0,0,3,Jihomoravskı kraj,10 000-19 999
70,1000,Praha,NA,NA,NA,NA,25/07/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,1,Hlavní mìsto Praha,100 000+
71,1000,Praha,NA,NA,NA,NA,03/10/2018,2,0,0,2,30 001–50 000 Kè,1,0,0,0,0,Hlavní mìsto Praha,100 000+
72,1000,Praha,NA,NA,NA,NA,15/08/2018,2,0,0,2,NA,1,0,0,0,0,Hlavní mìsto Praha,100 000+
73,1000,Praha,NA,NA,NA,NA,21/08/2018,1,0,0,1,NA,0,0,0,0,0,Hlavní mìsto Praha,100 000+
74,6211,Mikulov,NA,NA,NA,NA,22/11/2017,1,0,0,1,9 201–15 000 Kè,0,0,0,0,1,Jihomoravskı kraj,do 999
75,8119,Ostrava,NA,NA,NA,NA,07/03/2019,3,0,1,2,22 001–30 000 Kè,0,0,0,0,0,Moravskoslezskı kraj,100 000+
76,7207,Uherské Hradištì,NA,NA,NA,NA,28/11/2017,3,0,0,3,30 001–50 000 Kè,1,0,0,0,6,Zlínskı kraj,20 000-49 999
77,5213,Rychnov nad Knìnou,NA,NA,NA,NA,21/02/2019,2,0,0,2,NA,1,0,0,0,0,Královéhradeckı kraj,2 000-4 999
78,8111,Karviná,NA,NA,NA,NA,16/11/2017,1,0,0,1,15 001–22 000 Kè,0,0,0,0,0,Moravskoslezskı kraj,50 000-99 999
79,5205,Hradec Králové,NA,NA,NA,NA,07/02/2019,4,0,2,2,30 001–50 000 Kè,1,0,0,0,2,Královéhradeckı kraj,50 000-99 999
80,8111,Karviná,NA,NA,NA,NA,21/11/2017,2,0,0,2,30 001–50 000 Kè,1,0,0,0,2,Moravskoslezskı kraj,50 000-99 999
81,5109,Turnov,NA,NA,NA,NA,27/09/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Libereckı kraj,10 000-19 999
82,4103,Karlovy Vary,NA,NA,NA,NA,17/07/2018,3,0,1,2,30 001–50 000 Kè,1,0,0,0,1,Karlovarskı kraj,20 000-49 999
83,2109,Kladno,NA,NA,NA,NA,11/07/2018,2,0,0,2,NA,3,0,0,1,0,Støedoèeskı kraj,50 000-99 999
84,8119,Ostrava,NA,NA,NA,NA,17/05/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Moravskoslezskı kraj,100 000+
85,1000,Praha,NA,NA,NA,NA,06/02/2019,4,2,0,2,30 001–50 000 Kè,1,0,0,0,2,Hlavní mìsto Praha,100 000+
86,6214,Rosice,NA,NA,NA,NA,08/11/2017,2,0,0,2,15 001–22 000 Kè,1,0,0,1,0,Jihomoravskı kraj,2 000-4 999
87,3105,Jindøichùv Hradec,NA,NA,NA,NA,07/03/2019,4,0,0,4,50 001 Kè a více,4,0,1,0,4,Jihoèeskı kraj,do 999
88,1000,Praha,NA,NA,NA,NA,26/07/2018,3,0,0,3,22 001–30 000 Kè,1,0,0,0,1,Hlavní mìsto Praha,100 000+
89,4207,Louny,NA,NA,NA,NA,23/04/2019,2,0,0,2,NA,0,0,0,0,0,Ústeckı kraj,2 000-4 999
90,5201,Broumov,NA,NA,NA,NA,05/07/2018,5,1,2,2,22 001–30 000 Kè,1,0,0,0,5,Královéhradeckı kraj,do 999
91,1000,Praha,NA,NA,NA,NA,24/07/2018,5,0,3,2,NA,1,1,0,2,7,Hlavní mìsto Praha,100 000+
92,1000,Praha,NA,NA,NA,NA,14/06/2018,3,0,1,2,NA,1,1,1,0,0,Hlavní mìsto Praha,100 000+
93,8119,Ostrava,NA,NA,NA,NA,27/09/2018,4,0,2,2,30 001–50 000 Kè,1,0,0,0,0,Moravskoslezskı kraj,100 000+
94,6204,Bøeclav,NA,NA,NA,NA,10/04/2019,3,0,0,3,NA,1,0,0,0,4,Jihomoravskı kraj,20 000-49 999
95,4202,Dìèín,NA,NA,NA,NA,20/09/2018,3,1,0,2,50 001 Kè a více,1,0,0,0,2,Ústeckı kraj,do 999
96,4212,Rumburk,NA,NA,NA,NA,23/08/2018,2,0,0,2,30 001–50 000 Kè,1,0,0,0,0,Ústeckı kraj,5 000-9 999
97,1000,Praha,NA,NA,NA,NA,06/03/2019,2,0,0,2,22 001–30 000 Kè,1,0,0,1,0,Hlavní mìsto Praha,100 000+
98,1000,Praha,NA,NA,NA,NA,04/07/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Hlavní mìsto Praha,100 000+
99,1000,Praha,NA,NA,NA,NA,10/10/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,2,Hlavní mìsto Praha,100 000+
100,8106,Frıdek-Místek,NA,NA,NA,NA,14/11/2017,1,0,0,1,22 001–30 000 Kè,0,0,0,0,1,Moravskoslezskı kraj,50 000-99 999
101,1000,Praha,NA,NA,NA,NA,09/04/2019,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Hlavní mìsto Praha,100 000+
102,6115,ïár nad Sázavou,NA,NA,NA,NA,21/11/2017,3,0,1,2,30 001–50 000 Kè,1,0,0,0,3,Kraj Vysoèina,20 000-49 999
103,7109,Pøerov,NA,NA,NA,NA,06/03/2019,3,1,0,2,22 001–30 000 Kè,1,0,0,0,0,Olomouckı kraj,20 000-49 999
104,6203,Brno,NA,NA,NA,NA,05/06/2018,2,0,0,2,15 001–22 000 Kè,0,0,0,0,0,Jihomoravskı kraj,100 000+
105,8119,Ostrava,NA,NA,NA,NA,14/11/2017,1,0,0,1,nevím/nechci odpovídat,0,0,0,0,1,Moravskoslezskı kraj,100 000+
106,5309,Pardubice,NA,NA,NA,NA,10/10/2018,4,0,1,3,22 001–30 000 Kè,1,0,0,0,2,Pardubickı kraj,1 000-1 999
107,5205,Hradec Králové,NA,NA,NA,NA,03/10/2018,3,0,2,1,30 001–50 000 Kè,1,0,0,0,3,Královéhradeckı kraj,50 000-99 999
108,5205,Hradec Králové,NA,NA,NA,NA,09/10/2018,2,0,0,2,30 001–50 000 Kè,1,0,0,0,0,Královéhradeckı kraj,50 000-99 999
109,5211,Nové Mìsto nad Metují,NA,NA,NA,NA,02/04/2019,2,0,0,2,NA,1,0,0,0,2,Královéhradeckı kraj,5 000-9 999
110,8111,Karviná,NA,NA,NA,NA,07/11/2017,3,0,1,2,30 001–50 000 Kè,1,0,0,0,3,Moravskoslezskı kraj,50 000-99 999
111,5109,Turnov,NA,NA,NA,NA,20/07/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Libereckı kraj,10 000-19 999
112,7108,Prostìjov,NA,NA,NA,NA,17/10/2017,2,1,0,2,30 001–50 000 Kè,1,0,0,0,2,Olomouckı kraj,1 000-1 999
113,5105,Liberec,NA,NA,NA,NA,18/04/2019,2,0,0,2,NA,0,0,0,0,0,Libereckı kraj,100 000+
114,5105,Liberec,NA,NA,NA,NA,27/03/2019,3,1,0,2,NA,1,0,0,0,2,Libereckı kraj,100 000+
115,4209,Most,NA,NA,NA,NA,31/07/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Ústeckı kraj,50 000-99 999
116,6215,Slavkov u Brna,NA,NA,NA,NA,23/11/2017,1,0,0,1,nevím/nechci odpovídat,0,0,0,0,1,Jihomoravskı kraj,1 000-1 999
117,7207,Uherské Hradištì,NA,NA,NA,NA,22/11/2017,4,0,1,3,22 001–30 000 Kè,1,0,0,0,4,Zlínskı kraj,2 000-4 999
118,4212,Rumburk,NA,NA,NA,NA,05/09/2018,1,0,0,1,15 001–22 000 Kè,0,0,0,0,0,Ústeckı kraj,10 000-19 999
119,4212,Rumburk,NA,NA,NA,NA,05/09/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Ústeckı kraj,10 000-19 999
120,3108,Písek,NA,NA,NA,NA,04/09/2018,1,0,0,1,9 201–15 000 Kè,1,0,0,0,0,Jihoèeskı kraj,1 000-1 999
121,2105,Èernošice,NA,NA,NA,NA,04/10/2018,2,0,0,2,50 001 Kè a více,1,1,0,0,2,Støedoèeskı kraj,1 000-1 999
122,1000,Praha,NA,NA,NA,NA,12/07/2018,2,0,0,2,NA,1,0,0,0,0,Hlavní mìsto Praha,100 000+
123,1000,Praha,NA,NA,NA,NA,01/08/2018,4,1,1,2,50 001 Kè a více,0,0,0,0,1,Hlavní mìsto Praha,100 000+
124,1000,Praha,NA,NA,NA,NA,08/08/2018,4,1,1,2,NA,1,0,0,0,0,Hlavní mìsto Praha,100 000+
125,1000,Praha,NA,NA,NA,NA,07/11/2018,3,1,0,2,50 001 Kè a více,0,2,0,0,1,Hlavní mìsto Praha,100 000+
126,1000,Praha,NA,NA,NA,NA,21/08/2018,3,1,0,2,30 001–50 000 Kè,1,0,0,0,0,Hlavní mìsto Praha,100 000+
127,1000,Praha,NA,NA,NA,NA,22/08/2018,2,0,0,2,NA,1,0,0,0,1,Hlavní mìsto Praha,100 000+
128,1000,Praha,NA,NA,NA,NA,04/04/2019,5,0,2,3,NA,1,1,0,0,5,Hlavní mìsto Praha,100 000+
129,1000,Praha,NA,NA,NA,NA,25/07/2018,2,0,0,2,NA,0,1,0,0,0,Hlavní mìsto Praha,100 000+
130,1000,Praha,NA,NA,NA,NA,31/07/2018,3,0,1,2,NA,0,1,0,0,2,Hlavní mìsto Praha,100 000+
131,1000,Praha,NA,NA,NA,NA,07/08/2018,3,0,1,2,50 001 Kè a více,1,1,0,0,2,Hlavní mìsto Praha,100 000+
132,6215,Slavkov u Brna,NA,NA,NA,NA,22/11/2017,1,0,0,1,nevím/nechci odpovídat,1,0,0,0,0,Jihomoravskı kraj,1 000-1 999
133,1000,Praha,NA,NA,NA,NA,06/02/2019,5,0,1,4,50 001 Kè a více,2,0,0,0,6,Hlavní mìsto Praha,100 000+
134,1000,Praha,NA,NA,NA,NA,28/08/2018,1,0,0,1,15 001–22 000 Kè,0,2,0,1,1,Hlavní mìsto Praha,100 000+
135,1000,Praha,NA,NA,NA,NA,18/10/2018,1,0,0,1,NA,0,0,0,0,0,Hlavní mìsto Praha,100 000+
136,1000,Praha,NA,NA,NA,NA,09/04/2019,1,0,0,1,NA,1,0,0,0,0,Hlavní mìsto Praha,100 000+
137,1000,Praha,NA,NA,NA,NA,10/04/2019,4,0,2,2,NA,1,0,0,0,4,Hlavní mìsto Praha,100 000+
138,1000,Praha,NA,NA,NA,NA,13/02/2019,2,0,0,2,30 001–50 000 Kè,0,0,0,0,0,Hlavní mìsto Praha,100 000+
139,2108,Hoøovice,NA,NA,NA,NA,20/02/2019,2,0,0,2,NA,1,0,0,0,0,Støedoèeskı kraj,1 000-1 999
140,1000,Praha,NA,NA,NA,NA,12/07/2018,4,0,1,3,NA,1,1,0,0,6,Hlavní mìsto Praha,100 000+
141,1000,Praha,NA,NA,NA,NA,18/07/2018,6,1,1,4,50 001 Kè a více,2,0,0,0,4,Hlavní mìsto Praha,100 000+
142,2106,Èeskı Brod,NA,NA,NA,NA,28/08/2018,1,0,0,1,NA,0,1,0,0,0,Støedoèeskı kraj,do 999
143,2106,Èeskı Brod,NA,NA,NA,NA,19/09/2018,2,0,0,2,NA,0,0,0,0,0,Støedoèeskı kraj,do 999
144,2106,Èeskı Brod,NA,NA,NA,NA,06/09/2018,1,0,0,1,NA,0,0,0,0,1,Støedoèeskı kraj,do 999
145,2109,Kladno,NA,NA,NA,NA,27/03/2019,4,1,1,2,30 001–50 000 Kè,0,0,0,0,0,Støedoèeskı kraj,50 000-99 999
146,2104,Èáslav,NA,NA,NA,NA,13/09/2018,2,0,0,2,22 001–30 000 Kè,1,0,0,0,0,Støedoèeskı kraj,1 000-1 999
147,2112,Kutná Hora,NA,NA,NA,NA,10/10/2018,2,0,0,2,22 001–30 000 Kè,0,0,0,0,0,Støedoèeskı kraj,2 000-4 999
148,8119,Ostrava,NA,NA,NA,NA,14/11/2017,1,0,0,1,nevím/nechci odpovídat,0,0,0,0,0,Moravskoslezskı kraj,100 000+
149,7108,Prostìjov,NA,NA,NA,NA,05/03/2019,4,0,0,4,50 001 Kè a více,3,0,0,0,0,Olomouckı kraj,20 000-49 999
150,2120,Pøíbram,NA,NA,NA,NA,06/09/2018,2,0,0,2,30 001–50 000 Kè,1,1,0,0,0,Støedoèeskı kraj,20 000-49 999
151,3114,Tøeboò,NA,NA,NA,NA,06/11/2018,3,0,0,3,30 001–50 000 Kè,0,0,0,0,0,Jihoèeskı kraj,do 999
152,1000,Praha,NA,NA,NA,NA,27/02/2019,4,0,2,2,30 001–50 000 Kè,1,0,0,0,4,Hlavní mìsto Praha,100 000+
153,1000,Praha,NA,NA,NA,NA,28/03/2019,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Hlavní mìsto Praha,100 000+
154,1000,Praha,NA,NA,NA,NA,20/09/2018,2,0,0,2,NA,0,0,0,0,0,Hlavní mìsto Praha,100 000+
155,1000,Praha,NA,NA,NA,NA,22/08/2018,2,1,0,1,22 001–30 000 Kè,0,0,0,0,0,Hlavní mìsto Praha,100 000+
156,1000,Praha,NA,NA,NA,NA,23/08/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Hlavní mìsto Praha,100 000+
157,1000,Praha,NA,NA,NA,NA,28/08/2018,4,0,0,4,NA,3,0,0,0,0,Hlavní mìsto Praha,100 000+
158,1000,Praha,NA,NA,NA,NA,04/09/2018,3,0,2,1,30 001–50 000 Kè,0,0,0,0,0,Hlavní mìsto Praha,100 000+
159,1000,Praha,NA,NA,NA,NA,01/08/2018,3,0,1,2,NA,0,0,0,0,3,Hlavní mìsto Praha,100 000+
160,1000,Praha,NA,NA,NA,NA,14/11/2018,1,0,0,1,22 001–30 000 Kè,0,1,0,0,0,Hlavní mìsto Praha,100 000+
161,8119,Ostrava,NA,NA,NA,NA,05/10/2017,2,1,0,2,22 001–30 000 Kè,1,0,0,0,3,Moravskoslezskı kraj,100 000+
162,2114,Mìlník,NA,NA,NA,NA,26/07/2018,1,0,0,1,9 201–15 000 Kè,0,0,0,0,1,Støedoèeskı kraj,10 000-19 999
163,5108,Tanvald,NA,NA,NA,NA,06/06/2018,4,0,0,4,NA,3,0,0,0,4,Libereckı kraj,5 000-9 999
164,6104,Chotìboø,NA,NA,NA,NA,05/02/2019,2,0,0,2,NA,1,0,0,1,2,Kraj Vysoèina,do 999
165,7108,Prostìjov,NA,NA,NA,NA,25/07/2018,2,0,0,2,30 001–50 000 Kè,1,0,0,0,1,Olomouckı kraj,20 000-49 999
166,6114,Velké Meziøíèí,NA,NA,NA,NA,25/10/2018,2,0,0,2,30 001–50 000 Kè,0,0,0,0,7,Kraj Vysoèina,do 999
167,2112,Kutná Hora,NA,NA,NA,NA,18/02/2019,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Støedoèeskı kraj,20 000-49 999
168,7207,Uherské Hradištì,NA,NA,NA,NA,28/11/2017,2,0,0,2,15 001–22 000 Kè,1,0,0,0,2,Zlínskı kraj,do 999
169,6110,Pelhøimov,NA,NA,NA,NA,11/10/2018,2,0,0,2,NA,1,0,0,0,0,Kraj Vysoèina,do 999
170,4213,Teplice,NA,NA,NA,NA,15/08/2018,1,0,0,1,NA,1,0,0,0,0,Ústeckı kraj,10 000-19 999
171,6203,Brno,NA,NA,NA,NA,13/03/2019,2,0,0,2,NA,1,0,0,0,2,Jihomoravskı kraj,100 000+
172,6203,Brno,NA,NA,NA,NA,12/03/2019,1,0,0,1,9 201–15 000 Kè,0,0,0,0,0,Jihomoravskı kraj,100 000+
173,7211,Vizovice,NA,NA,NA,NA,09/10/2018,3,0,0,3,NA,2,0,0,0,0,Zlínskı kraj,do 999
174,7204,Luhaèovice,NA,NA,NA,NA,02/07/2018,2,1,0,1,9 201–15 000 Kè,0,0,0,0,0,Zlínskı kraj,5 000-9 999
175,6105,Jihlava,NA,NA,NA,NA,16/04/2019,1,0,0,1,15 001–22 000 Kè,1,0,0,0,0,Kraj Vysoèina,5 000-9 999
176,8119,Ostrava,NA,NA,NA,NA,21/11/2017,2,0,0,2,50 001 Kè a více,1,0,0,0,2,Moravskoslezskı kraj,100 000+
177,8117,Opava,NA,NA,NA,NA,13/03/2019,3,0,1,2,NA,1,0,0,0,3,Moravskoslezskı kraj,50 000-99 999
178,7212,Vsetín,NA,NA,NA,NA,02/04/2019,1,0,0,1,22 001–30 000 Kè,1,0,0,0,1,Zlínskı kraj,20 000-49 999
179,8103,Bruntál,NA,NA,NA,NA,14/11/2017,2,0,0,2,15 001–22 000 Kè,1,0,0,0,2,Moravskoslezskı kraj,2 000-4 999
180,7107,Olomouc,NA,NA,NA,NA,11/10/2018,2,0,0,2,30 001–50 000 Kè,2,0,0,0,2,Olomouckı kraj,2 000-4 999
